Stationsnamn,MD-MVM_Id,EU_id,Stationskoordinat_N/X,Stationskoordinat_E/Y,Provplatskoordinat_N/X,Provplatskoordinat_E/Y,Koordinatsystem,Provtagningsmedium,Program,Delprogram,Projekt,Län,Kommun,MS_CD_C2,MS_CD_C3,ProvId,Provdatum,Provtagningsår,Provtagningsmånad,Provtagningsdag,Min_provdjup_(m),Max_provdjup_(m),Undersökningstyp,Metodstandard_för_biologisk_provtagning,Provkommentar,Kvalitetsflagga,Provtagningsutrustning,TaxonId,Taxonnamn,Artflagga,Taxonkommentar,Minstorlek_(µm),Maxstorlek_(µm),Täthet_(celler/l),Biovolym_(mm3/l),Artgrupp,Analysmetod,Analyskommentar,Analyslaboratorium,Ackreditering
Görväln_S,337,SE659036-160984,6589962,655471,,,SWEREF99_TM,Sjö,Sötvatten,Stora_sjöarna,Växtplankton_i_Mälaren,Stockholms_län,Järfälla,WA11895268,WA11895268,68302,1955-05-16,1955,5,16,0,10,,,,,,238937,Ankistrodesmus_falcatus,,,,,,0.000164,Chlorophyta,,,,
Görväln_S,337,SE659036-160984,6589962,655471,,,SWEREF99_TM,Sjö,Sötvatten,Stora_sjöarna,Växtplankton_i_Mälaren,Stockholms_län,Järfälla,WA11895268,WA11895268,68302,1955-05-16,1955,5,16,0,10,,,,,,1010799,Chlorella,,,,,,0.01925,Chlorophyta,,,,
Görväln_S,337,SE659036-160984,6589962,655471,,,SWEREF99_TM,Sjö,Sötvatten,Stora_sjöarna,Växtplankton_i_Mälaren,Stockholms_län,Järfälla,WA11895268,WA11895268,68303,1955-05-31,1955,5,31,0,10,,,,,,238916,Eudorina_elegans,,,,,,0.011008,Chlorophyta,,,,
Görväln_S,337,SE659036-160984,6589962,655471,,,SWEREF99_TM,Sjö,Sötvatten,Stora_sjöarna,Växtplankton_i_Mälaren,Stockholms_län,Järfälla,WA11895268,WA11895268,68303,1955-05-31,1955,5,31,0,10,,,,,,238937,Ankistrodesmus_falcatus,,,,,,0.000284,Chlorophyta,,,,
Görväln_S,337,SE659036-160984,6589962,655471,,,SWEREF99_TM,Sjö,Sötvatten,Stora_sjöarna,Växtplankton_i_Mälaren,Stockholms_län,Järfälla,WA11895268,WA11895268,68303,1955-05-31,1955,5,31,0,10,,,,,,1010799,Chlorella,,,,,,0.051,Chlorophyta,,,,
Görväln_S,337,SE659036-160984,6589962,655471,,,SWEREF99_TM,Sjö,Sötvatten,Stora_sjöarna,Växtplankton_i_Mälaren,Stockholms_län,Järfälla,WA11895268,WA11895268,68304,1955-06-13,1955,6,13,0,10,,,,,,238937,Ankistrodesmus_falcatus,,,,,,0.000404,Chlorophyta,,,,
Görväln_S,337,SE659036-160984,6589962,655471,,,SWEREF99_TM,Sjö,Sötvatten,Stora_sjöarna,Växtplankton_i_Mälaren,Stockholms_län,Järfälla,WA11895268,WA11895268,68304,1955-06-13,1955,6,13,0,10,,,,,,1010799,Chlorella,,,,,,0.05,Chlorophyta,,,,
Görväln_S,337,SE659036-160984,6589962,655471,,,SWEREF99_TM,Sjö,Sötvatten,Stora_sjöarna,Växtplankton_i_Mälaren,Stockholms_län,Järfälla,WA11895268,WA11895268,68305,1955-06-27,1955,6,27,0,10,,,,,,238937,Ankistrodesmus_falcatus,,,,,,0.000268,Chlorophyta,,,,
Görväln_S,337,SE659036-160984,6589962,655471,,,SWEREF99_TM,Sjö,Sötvatten,Stora_sjöarna,Växtplankton_i_Mälaren,Stockholms_län,Järfälla,WA11895268,WA11895268,68305,1955-06-27,1955,6,27,0,10,,,,,,1010749,Scenedesmus_s.lat.,,,,,,0.000388,Chlorophyta,,,,
Görväln_S,337,SE659036-160984,6589962,655471,,,SWEREF99_TM,Sjö,Sötvatten,Stora_sjöarna,Växtplankton_i_Mälaren,Stockholms_län,Järfälla,WA11895268,WA11895268,68305,1955-06-27,1955,6,27,0,10,,,,,,1010799,Chlorella,,,,,,0.0185,Chlorophyta,,,,
